attraction,latitude,longitude
TRON Lightcycle / Run,28.419625,-81.577985
Peter Pan's Flight,28.4202640272,-81.5818916811
Jungle Cruise,28.41797818,-81.5834393157
Seven Dwarfs Mine Train,28.42037,-81.58031
Tiana's Bayou Adventure,28.419418,-81.58498
Buzz Lightyear’s Space Ranger Spin,28.4182868839,-81.5794086456
Haunted Mansion,28.4202,-81.58288
Mickey's PhilharMagic,28.4200304909,-81.5814839853
Space Mountain,28.4188341691,-81.5781962872
Tomorrowland Speedway,28.419368,-81.579302
Walt Disney's Enchanted Tiki Room,28.4182264646,-81.583738382
"""it's a small world""",28.4204816402,-81.5820392026
Astro Orbiter,28.4184926179,-81.5789887902
Big Thunder Mountain Railroad,28.4199638504,-81.5846422864
Dumbo the Flying Elephant,28.420509033,-81.5789473057
Mad Tea Party,28.4200230397,-81.5798248916
Pirates of the Caribbean,28.4179699235,-81.5842252029
Prince Charming Regal Carrousel,28.420169,-81.581255
Swiss Family Treehouse,28.4184325517,-81.5827982677
The Barnstormer,28.4207661576,-81.5783907473
The Magic Carpets of Aladdin,28.41843,-81.583472
Tomorrowland Transit Authority PeopleMover,28.418155,-81.579033
Under the Sea - Journey of The Little Mermaid,28.4211203226,-81.5799752427
A Pirate's Adventure ~ Treasures of the Seven Seas,28.4183725,-81.584669
Casey Jr. Splash 'N' Soak Station,28.4209221723,-81.5786757124
Cinderella Castle,28.4194549043,-81.5811809
Country Bear Musical Jamboree,28.4187861348,-81.5837222887
Enchanted Tales with Belle,28.4209906,-81.58093
Main Street Vehicles,28.4168698711,-81.5815081252
"Monsters, Inc. Laugh Floor",28.4183977566,-81.5797358751
The Hall of Presidents,28.4194484171,-81.5823248578
The Many Adventures of Winnie the Pooh,28.420212,-81.580266
Walt Disney World Railroad - Fantasyland,28.420934,-81.578368
"Walt Disney World Railroad - Main Street, U.S.A.",28.416543,-81.581204
Walt Disney's Carousel of Progress,28.4180310951,-81.5790083064
