attraction,node
Main Street,Main Street Entrance
Walt Disney World Railroad - Main Street,Main Street Entrance
Jungle Cruise,Jungle Cruise Area
Pirates of the Caribbean,Pirates Area
The Magic Carpets of Aladdin,Adventureland Center
Swiss Family Treehouse,Adventureland Center
Walt Disney's Enchanted Tiki Room,Adventureland Center
Big Thunder Mountain,Big Thunder Area
Tiana's Bayou Adventure,Frontierland Center
Country Bear Musical Jamboree,Frontierland Center
The Hall of Presidents,Liberty Square Center
Haunted Mansion,Haunted Mansion Area
Liberty Square Riverboat,Liberty Square Center
Peter Pan's Flight,Peter Pan Area
it's a small world,Small World Area
Mickey's PhilharMagic,Fantasyland Center
Prince Charming Regal Carrousel,Fantasyland Center
The Many Adventures of Winnie the Pooh,Fantasyland Center
Seven Dwarfs Mine Train,Seven Dwarfs Area
Mad Tea Party,Fantasyland East
Dumbo the Flying Elephant,Dumbo Area
The Barnstormer,Barnstormer Area
Under the Sea - Journey of the Little Mermaid,Little Mermaid Area
Tomorrowland Speedway,Tomorrowland Speedway Area
Space Mountain,Space Mountain Area
Buzz Lightyear's Space Ranger Spin,Buzz Lightyear Area
TRON Lightcycle / Run,TRON Area
Tomorrowland Transit Authority PeopleMover,PeopleMover Area
Walt Disney's Carousel of Progress,Tomorrowland Center
Monsters, Inc. Laugh Floor,Tomorrowland Center
