from_node,to_node,distance_miles
Main Street Entrance,Main Street Hub,0.20
Main Street Hub,Central Hub,0.10
Central Hub,Adventureland Entrance,0.08
Central Hub,Liberty Square Entrance,0.10
Central Hub,Fantasyland Castle,0.08
Central Hub,Tomorrowland Entrance,0.10
Adventureland Entrance,Adventureland Center,0.10
Adventureland Center,Pirates Area,0.10
Adventureland Center,Jungle Cruise Area,0.07
Adventureland Center,Frontierland Entrance,0.12
Pirates Area,Frontierland Entrance,0.08
Frontierland Entrance,Frontierland Center,0.10
Frontierland Center,Big Thunder Area,0.12
Frontierland Center,Liberty Square West,0.10
Liberty Square West,Liberty Square Center,0.08
Liberty Square Center,Liberty Square Entrance,0.08
Liberty Square Center,Haunted Mansion Area,0.08
Haunted Mansion Area,Fantasyland West,0.10
Fantasyland Castle,Fantasyland Center,0.08
Fantasyland Center,Fantasyland West,0.10
Fantasyland Center,Fantasyland East,0.10
Fantasyland West,Small World Area,0.06
Fantasyland West,Peter Pan Area,0.05
Fantasyland East,Seven Dwarfs Area,0.08
Fantasyland East,Storybook Circus Entrance,0.10
Fantasyland East,Little Mermaid Area,0.08
Storybook Circus Entrance,Storybook Circus Center,0.08
Storybook Circus Center,Dumbo Area,0.05
Storybook Circus Center,Barnstormer Area,0.05
Storybook Circus Center,Tomorrowland North,0.12
Tomorrowland Entrance,Tomorrowland Center,0.10
Tomorrowland Center,Space Mountain Area,0.10
Tomorrowland Center,Buzz Lightyear Area,0.05
Tomorrowland Center,PeopleMover Area,0.04
Tomorrowland Center,Tomorrowland North,0.10
Tomorrowland North,TRON Area,0.07
Tomorrowland North,Tomorrowland Speedway Area,0.08
Fantasyland East,Tomorrowland North,0.12
